id,created_at,text
366412783333539840,2013-08-11 04:16:29,"TPD - foot pursuit from chestnut st and e central ave, male dropped gun in the alley, fleeing from crews"
366412346702307328,2013-08-11 04:14:45,"TPD - code 3 weapons call, 500 block e central ave, black male with a gun"
366411508210601984,2013-08-11 04:11:25,"TPD - disorder, 5400 block glenridge dr"
366410896551063552,2013-08-11 04:08:59,"TPD - disorder, isherwood st and macomber st"
366408862049374208,2013-08-11 04:00:54,RT @Ruthtrumpets: Is the full #moon out!?!? Lots of shit going down in #Toledo @Toledo_Tweets @ToledoScanner tonight.
366408621103398912,2013-08-11 03:59:57,"TPD - code 3 weapons call, n erie st and sandusky st, group of people fighting, a male has a gun"
366408352311418881,2013-08-11 03:58:53,@ObeseAmerica possibly same as or related to the accident 4700 block lewis ave
366407604836110336,2013-08-11 03:55:55,TPD - reported that the male driving the van from the 4700 block lewis ave accident has a gun out and is threatening people
366407314976153600,2013-08-11 03:54:46,"TPD - robbery, monroe st and n michigan st, female was robbed by a male"
366406670299049986,2013-08-11 03:52:12,"TPD/TFD - code 3 injury accident, 4700 block lewis ave, report of a motorcycle versus a van"
366406478749384706,2013-08-11 03:51:26,"TPD - fight, eleanor ave and lewis ave, reporting of 10 people fighting"
366405527078580224,2013-08-11 03:47:39,"@Aimeelily na, that's probably a bit far away to be related to all the activity on airport hwy party hall"
366403570796478465,2013-08-11 03:39:53,"TPD - check the safety, broadway st and segur ave, male staggering into traffic"
366403374666620928,2013-08-11 03:39:06,"TPD - gunshots heard, oak creek ln, female caller heard gunshots, possibly same from earlier, crews have everybody rounded up now"
366402473235202048,2013-08-11 03:35:31,"TPD/TFD/EMS - code 3 person down, 18th st and monroe st, with life squad 2"
366402068627464193,2013-08-11 03:33:55,"TPD - code 3 to 4100 block springburn dr near acton dr, somebody is trying to breaking, kicking the caller's door"
366400336027582465,2013-08-11 03:27:02,"TPD - code 3, n miller st and nebraska ave, female caller hiding in the bushes, male out of car with gun looking for her"
366400116543852544,2013-08-11 03:26:09,TPD - crews transporting a number of individuals downtown from the various incidents following the toledo party hall event shut down
366399297035567106,2013-08-11 03:22:54,"TPD - crews have a male in a red shirt in custody, all others being slowed down"
366398794444709888,2013-08-11 03:20:54,"RT @TheRealMEkO: Toledo gon be a bonus map on Call Of Duty...called ""The Mud""..."
366398777784942592,2013-08-11 03:20:50,RT @TheRealMEkO: Niggas in Toledo really be shooting like MFs got extra lives...this ain't call of duty...
366398583211175936,2013-08-11 03:20:04,"TPD - crews on foot pursuit working to round up group that fired multiple shots, now in the cherry creek ln and sugar creek ln area"
